"","State","Number","total_tax"
"1","Alabama",0.0347761820046261,2.23
"2","Alaska",0.0625921930843972,16.37
"3","Arizona",0.0445182958309913,4
"4","Arkansas",0.042968697304014,3.48
"5","California",0.0588786069466037,3.7
"6","Colorado",0.0568751965932558,2.64
"7","Connecticut",0.062724239154979,6.36
"8","Delaware",0.0558737675681471,4.88
"9","District of Columbia",0.0749787560191279,1.89
"10","Florida",0.0511336874980647,9.23
"11","Georgia",0.0390082139522519,5.62
"12","Hawaii",0.0423485283886385,8.29
"13","Idaho",0.0486504547440619,0.6
"14","Illinois",0.0494173886166122,10.171
"15","Indiana",0.0450373912705253,3.265
"16","Iowa",0.0566799480273697,1.94
"17","Kansas",0.0401012027722595,2.98
"18","Kentucky",0.0475655106806192,2.5
"19","Louisiana",0.060476439147263,2.93
"20","Maine",0.0506993404947014,0.95
"21","Maryland",0.0531442723821107,1.99
"22","Massachusetts",0.0685072564831335,4.71
"23","Michigan",0.0510234415000714,0.71
"24","Minnesota",0.0494082157807156,5.48
"25","Mississippi",0.0405778076926393,0.7768
"26","Missouri",0.0501520795184237,2.48
"27","Montana",0.0628836777728558,1.2
"28","Nebraska",0.0515682800286526,5.01
"29","Nevada",0.0457164210402871,4.46
"30","New Hampshire",0.0528155438258101,0.3
"31","New Jersey",0.0403371211348047,6.495
"32","New Mexico",0.064748667256599,8.17
"33","New York",0.0542472484163061,6.88
"34","North Carolina",0.040832138642112,1.6171
"35","North Dakota",0.059119848163921,3.16
"36","Ohio",0.0542469289930407,0.5
"37","Oklahoma",0.0488589496411582,6.68
"38","Oregon",0.0650540718252913,0.75
"39","Pennsylvania",0.0479722532074159,0.08
"40","Rhode Island",0.0613355614043935,6.91
"41","South Carolina",0.0506633063934147,4.39
"42","South Dakota",0.0651911156842777,5.13
"43","Tennessee",0.043693832461075,6.76
"44","Texas",0.0439880547993412,2.804
"45","Utah",0.0347113166170351,0.41
"46","Vermont",0.054754142493093,0.815
"47","Virginia",0.0499172874038438,1.77
"48","Washington",0.0506272577155541,15.4
"49","West Virginia",0.0363102876315572,1.18
"50","Wisconsin",0.0631179129145867,3.56
"51","Wyoming",0.0562067591182692,0.02
